"","year_lag","top_value","variable","value","grouping","lag_year","lag_year_title"
"1",1,0.99,"v1",0.0120226142584429,"v1 0.99","1","1 Year"
"2",2,0.99,"v1",0.00335235542765288,"v1 0.99","1","1 Year"
"3",3,0.99,"v1",0.000435030227076261,"v1 0.99","1","1 Year"
"4",4,0.99,"v1",0.000348120307989641,"v1 0.99","1","1 Year"
"5",5,0.99,"v1",0.00151985207043398,"v1 0.99","1","1 Year"
"6",6,0.99,"v1",0.000357029382482726,"v1 0.99","1","1 Year"
"7",7,0.99,"v1",0.000306150034132707,"v1 0.99","1","1 Year"
"8",8,0.99,"v1",0.000985930465138066,"v1 0.99","1","1 Year"
"9",9,0.99,"v1",0.002131815187253,"v1 0.99","1","1 Year"
"10",10,0.99,"v1",0.00199114964417264,"v1 0.99","1","1 Year"
"11",11,0.99,"v1",0.00212112011000723,"v1 0.99","1","1 Year"
"12",12,0.99,"v1",0.00426071489672776,"v1 0.99","1","1 Year"
"13",13,0.99,"v1",0.00640588474505756,"v1 0.99","1","1 Year"
"14",14,0.99,"v1",0.00605338321372317,"v1 0.99","1","1 Year"
"15",15,0.99,"v1",0.0116910414854828,"v1 0.99","1","1 Year"
"16",16,0.99,"v1",0.0015994883334748,"v1 0.99","1","1 Year"
"17",17,0.99,"v1",0.00236793778258,"v1 0.99","1","1 Year"
"18",18,0.99,"v1",0.00423906226173496,"v1 0.99","1","1 Year"
"19",19,0.99,"v1",0.0171489581863292,"v1 0.99","1","1 Year"
"20",20,0.99,"v1",0.0151472525572444,"v1 0.99","1","1 Year"
"21",21,0.99,"v1",0.00983874474963709,"v1 0.99","1","1 Year"
"22",22,0.99,"v1",0.0134444314141957,"v1 0.99","1","1 Year"
"23",23,0.99,"v1",0.0150445472249941,"v1 0.99","1","1 Year"
"24",24,0.99,"v1",0.0209521573685826,"v1 0.99","1","1 Year"
"25",25,0.99,"v1",0.0278128288021686,"v1 0.99","1","1 Year"
"26",1,0.98,"v1",0.0119475688285949,"v1 0.98","1","1 Year"
"27",2,0.98,"v1",0.00429983838628501,"v1 0.98","1","1 Year"
"28",3,0.98,"v1",0.000542084815448445,"v1 0.98","1","1 Year"
"29",4,0.98,"v1",0.000482194020599013,"v1 0.98","1","1 Year"
"30",5,0.98,"v1",0.00206609455752538,"v1 0.98","1","1 Year"
"31",6,0.98,"v1",0.000474258214970585,"v1 0.98","1","1 Year"
"32",7,0.98,"v1",0.000441969655605939,"v1 0.98","1","1 Year"
"33",8,0.98,"v1",0.00133375868947429,"v1 0.98","1","1 Year"
"34",9,0.98,"v1",0.00285626371987626,"v1 0.98","1","1 Year"
"35",10,0.98,"v1",0.00254694372827155,"v1 0.98","1","1 Year"
"36",11,0.98,"v1",0.00271585800698856,"v1 0.98","1","1 Year"
"37",12,0.98,"v1",0.00539848353205966,"v1 0.98","1","1 Year"
"38",13,0.98,"v1",0.00754719485585476,"v1 0.98","1","1 Year"
"39",14,0.98,"v1",0.00662067075504859,"v1 0.98","1","1 Year"
"40",15,0.98,"v1",0.0124534474490697,"v1 0.98","1","1 Year"
"41",16,0.98,"v1",0.00166252572635065,"v1 0.98","1","1 Year"
"42",17,0.98,"v1",0.00244630176390893,"v1 0.98","1","1 Year"
"43",18,0.98,"v1",0.00410538299155728,"v1 0.98","1","1 Year"
"44",19,0.98,"v1",0.0174480691301246,"v1 0.98","1","1 Year"
"45",20,0.98,"v1",0.0148267472038934,"v1 0.98","1","1 Year"
