"","quant_cutoff","outlying_precip.x","quant_cutoff_inverse.x","cor_p_sig","outlying_precip.y","quant_cutoff_inverse.y","outlying_precip_inverse"
"1",1,7.81124773328484e-40,99,1,0.475863374665668,99,-0.475863374665668
"2",2,0,98,1,0.398035154110498,98,-0.398035154110498
"3",3,4.8679852204351e-22,97,1,0.357901135978035,97,-0.357901135978035
"4",4,8.94216948221526e-18,96,1,0.320671608184311,96,-0.320671608184311
"5",5,2.0419625048491e-15,95,1,0.29888707331053,95,-0.29888707331053
"6",6,3.65744090468384e-14,94,1,0.285687651138954,94,-0.285687651138954
"7",7,7.25625095043455e-13,93,1,0.270099742135183,93,-0.270099742135183
"8",8,1.74304720270885e-11,92,1,0.254690382627197,92,-0.254690382627197
"9",9,7.91411801008336e-11,91,1,0.245609883148871,91,-0.245609883148871
"10",10,2.27822976651038e-10,90,1,0.239711944508859,90,-0.239711944508859
"11",11,8.41749004106715e-10,89,1,0.23219882433896,89,-0.23219882433896
"12",12,3.45686944450821e-09,88,1,0.223775300528067,88,-0.223775300528067
"13",13,9.87714759597678e-09,87,1,0.217291668788658,87,-0.217291668788658
"14",14,2.78446784879441e-08,86,1,0.210686453467738,86,-0.210686453467738
"15",15,7.90134472375446e-08,85,1,0.204268605063525,85,-0.204268605063525
"16",16,1.38918205945178e-07,84,1,0.1999972592624,84,-0.1999972592624
"17",17,3.51593017785384e-07,83,1,0.193546444375761,83,-0.193546444375761
"18",18,6.673210679483e-07,82,1,0.188964928016391,82,-0.188964928016391
"19",19,1.53844045336474e-06,81,1,0.182820135576856,81,-0.182820135576856
"20",20,3.40746655069031e-06,80,1,0.176772504406175,80,-0.176772504406175
"21",21,6.49907330087238e-06,79,1,0.171707339807697,79,-0.171707339807697
"22",22,9.63103945299994e-06,78,1,0.168791658761117,78,-0.168791658761117
"23",23,1.28516986506497e-05,77,1,0.166194920289791,77,-0.166194920289791
"24",24,1.9423761845642e-05,76,1,0.162983489316732,76,-0.162983489316732
"25",25,3.21295913272367e-05,75,1,0.158494565244119,75,-0.158494565244119
"26",26,6.02822073560015e-05,74,1,0.153166239387137,74,-0.153166239387137
"27",27,9.74422700190808e-05,73,1,0.148819985768214,73,-0.148819985768214
"28",28,0.00014541000647221,72,1,0.14495972737738,72,-0.14495972737738
"29",29,0.000210615915617749,71,1,0.141585573589928,71,-0.141585573589928
"30",30,0.000276151947222272,70,1,0.138836212285198,70,-0.138836212285198
"31",31,0.000369914802509031,69,1,0.135960764365411,69,-0.135960764365411
"32",32,0.000471215210897169,68,1,0.133644811501096,68,-0.133644811501096
"33",33,0.00065547440380749,67,1,0.130165325678687,67,-0.130165325678687
"34",34,0.000836316045962211,66,1,0.127715890722388,66,-0.127715890722388
"35",35,0.00100922797042915,65,1,0.125633082710948,65,-0.125633082710948
"36",36,0.00129453310155384,64,1,0.122950375409641,64,-0.122950375409641
"37",37,0.00135263047618576,63,1,0.122471871762309,63,-0.122471871762309
"38",38,0.00105829578575262,62,1,0.125125508379394,62,-0.125125508379394
"39",39,0.000651058875211027,61,1,0.13033364497795,61,-0.13033364497795
"40",40,0.000229084459545049,60,1,0.140775911682504,60,-0.140775911682504
"41",41,0.000107839368040586,59,1,0.147887189276449,59,-0.147887189276449
"42",42,5.7614627766734e-05,58,1,0.153393577859834,58,-0.153393577859834
"43",43,2.0063629152024e-05,57,1,0.162495605528085,57,-0.162495605528085
"44",44,9.50242579196354e-06,56,1,0.168901099115188,56,-0.168901099115188
"45",45,8.72261536061033e-06,55,1,0.169596554168502,55,-0.169596554168502
"46",46,9.82299557231606e-06,54,1,0.168630883958214,54,-0.168630883958214
"47",47,1.22549445420751e-05,53,1,0.166818630379882,53,-0.166818630379882
"48",48,1.45043282122671e-05,52,1,0.165198192161092,52,-0.165198192161092
"49",49,1.94841149959741e-05,51,1,0.162741516859224,51,-0.162741516859224
"50",50,2.77001247053762e-05,50,1,0.159765429927547,50,-0.159765429927547
"51",51,4.03948557332989e-05,49,1,0.156702906757367,49,-0.156702906757367
"52",52,6.17001714424843e-05,48,1,0.152784542535296,48,-0.152784542535296
