"","lag","quant_cutoff","cor_p","cor_p_sig","cor_r","lag_bins"
"1","v1",1,8.04914846617008e-15,1,0.291460017845436,"1-5 years"
"2","v1",10,0.000581324300138936,1,0.131502572368474,"1-5 years"
"3","v1",11,0.00124363970823757,1,0.123466518108227,"1-5 years"
"4","v1",12,0.00283951710973174,1,0.114181224714734,"1-5 years"
"5","v1",13,0.00657329898222246,1,0.104015717647367,"1-5 years"
"6","v1",14,0.0154585572698576,1,0.0927160862056335,"1-5 years"
"7","v1",15,0.0274122568250613,1,0.0844746184913229,"1-5 years"
"8","v1",16,0.0420639774374492,1,0.0778757396515738,"1-5 years"
"12","v1",2,6.6298558280672e-11,1,0.246582662966236,"1-5 years"
"23","v1",3,7.7461456300475e-09,1,0.218810461079347,"1-5 years"
"34","v1",4,1.84543239019491e-07,1,0.198047019272482,"1-5 years"
"45","v1",5,8.90347325192112e-07,1,0.1872083556897,"1-5 years"
"51","v1",55,0.0442149533935053,1,-0.0770792423633056,"1-5 years"
"52","v1",56,0.0325722249611196,1,-0.0818662837477424,"1-5 years"
"53","v1",57,0.0252367825235575,1,-0.0857030136442388,"1-5 years"
"54","v1",58,0.0208401700190072,1,-0.0884947451512258,"1-5 years"
"55","v1",59,0.0166550651949991,1,-0.0916772540026826,"1-5 years"
"56","v1",6,3.96986640016905e-06,1,0.175865560942058,"1-5 years"
"57","v1",60,0.0137841181146659,1,-0.0942954243812643,"1-5 years"
"58","v1",61,0.0108048807137873,1,-0.0975804129835603,"1-5 years"
"59","v1",62,0.00819688772628204,1,-0.101199624029069,"1-5 years"
"60","v1",63,0.00612596043903178,1,-0.104859729610258,"1-5 years"
"61","v1",64,0.00456232245953762,1,-0.108538407426464,"1-5 years"
"62","v1",65,0.00334129174570596,1,-0.112272430595929,"1-5 years"
"63","v1",66,0.00253773438119105,1,-0.115483273642062,"1-5 years"
"64","v1",67,0.00191299092650898,1,-0.118633742142994,"1-5 years"
"65","v1",68,0.0012909675348619,1,-0.123059814600928,"1-5 years"
"66","v1",69,0.000828185739876853,1,-0.127727297484013,"1-5 years"
"67","v1",7,1.86943386776777e-05,1,0.163305492874924,"1-5 years"
"68","v1",70,0.000554582281050898,1,-0.131985729023224,"1-5 years"
"69","v1",71,0.000367317991575769,1,-0.136146164799356,"1-5 years"
"70","v1",72,0.000265505786133256,1,-0.139344221519987,"1-5 years"
"71","v1",73,0.000191896864525832,1,-0.14247721173215,"1-5 years"
"72","v1",74,0.00012790459167308,1,-0.146304673434126,"1-5 years"
"73","v1",75,7.79483030630167e-05,1,-0.150854751673765,"1-5 years"
"74","v1",76,5.33191832255085e-05,1,-0.154258675800844,"1-5 years"
"75","v1",77,3.07686803630443e-05,1,-0.159065237137822,"1-5 years"
"76","v1",78,1.77337307673345e-05,1,-0.163748285596804,"1-5 years"
"77","v1",79,9.52727574353632e-06,1,-0.168636503213827,"1-5 years"
"78","v1",8,9.20617952307714e-05,1,0.149340215201046,"1-5 years"
"79","v1",80,5.59623502645747e-06,1,-0.173158075431792,"1-5 years"
"80","v1",81,2.64386218367334e-06,1,-0.179019432963915,"1-5 years"
"81","v1",82,9.90109502013515e-07,1,-0.186424833873761,"1-5 years"
"82","v1",83,3.61038086134837e-07,1,-0.19374118445748,"1-5 years"
"83","v1",84,1.22859231497042e-07,1,-0.201266882749263,"1-5 years"
"84","v1",85,3.45809958063164e-08,1,-0.209771378041124,"1-5 years"
"85","v1",86,8.87648286513172e-09,1,-0.218521839866745,"1-5 years"
"86","v1",87,1.65659275095912e-09,1,-0.228851526379901,"1-5 years"
"87","v1",88,2.26414330261523e-10,1,-0.240503387042773,"1-5 years"
